id;idvideo;inicio;fin;idfaseconducta;cantidad;;;;;;;;;;;;
1;1;0;59;1;0;;;;;;;;1;1;1;Habituación;Palanqueo
2;1;60;119;1;0;;;;;;;;2;1;2;Habituación;Levantamiento
3;1;120;179;1;0;;;;;;;;3;1;3;Habituación;Acercamiento
4;1;180;239;1;0;;;;;;;;4;1;4;Habituación;Entrega Pellet
5;1;240;299;1;0;;;;;;;;5;1;5;Habituación;Consumo Pellet
6;1;300;359;1;0;;;;;;;;;;;;
7;1;360;419;1;0;;;;;;;;;;;;
8;1;420;479;1;0;;;;;;;;;;;;
9;1;480;539;1;0;;;;;;;;;;;;
10;1;540;599;1;0;;;;;;;;;;;;
11;1;600;659;1;0;;;;;;;;;;;;
12;1;660;719;1;0;;;;;;;;;;;;
13;1;720;779;1;0;;;;;;;;;;;;
14;1;780;839;1;0;;;;;;;;;;;;
15;1;840;899;1;0;;;;;;;;;;;;
16;1;0;59;2;0;;;;;;;;;;;;
17;1;60;119;2;3;;;;;;;;;;;;
18;1;120;179;2;2;;;;;;;;;;;;
19;1;180;239;2;1;;;;;;;;;;;;
20;1;240;299;2;4;;;;;;;;;;;;
21;1;300;359;2;6;;;;;;;;;;;;
22;1;360;419;2;1;;;;;;;;;;;;
23;1;420;479;2;2;;;;;;;;;;;;
24;1;480;539;2;2;;;;;;;;;;;;
25;1;540;599;2;5;;;;;;;;;;;;
26;1;600;659;2;2;;;;;;;;;;;;
27;1;660;719;2;3;;;;;;;;;;;;
28;1;720;779;2;2;;;;;;;;;;;;
29;1;780;839;2;0;;;;;;;;;;;;
30;1;840;899;2;0;;;;;;;;;;;;
31;1;0;59;3;0;;;;;;;;;;;;
32;1;60;119;3;0;;;;;;;;;;;;
33;1;120;179;3;0;;;;;;;;;;;;
34;1;180;239;3;1;;;;;;;;;;;;
35;1;240;299;3;1;;;;;;;;;;;;
36;1;300;359;3;2;;;;;;;;;;;;
37;1;360;419;3;0;;;;;;;;;;;;
38;1;420;479;3;1;;;;;;;;;;;;
39;1;480;539;3;0;;;;;;;;;;;;
40;1;540;599;3;0;;;;;;;;;;;;
41;1;600;659;3;0;;;;;;;;;;;;
42;1;660;719;3;2;;;;;;;;;;;;
43;1;720;779;3;0;;;;;;;;;;;;
44;1;780;839;3;1;;;;;;;;;;;;
45;1;840;899;3;0;;;;;;;;;;;;
46;1;0;59;4;0;;;;;;;;;;;;
47;1;60;119;4;1;;;;;;;;;;;;
48;1;120;179;4;0;;;;;;;;;;;;
49;1;180;239;4;0;;;;;;;;;;;;
50;1;240;299;4;1;;;;;;;;;;;;
51;1;300;359;4;0;;;;;;;;;;;;
52;1;360;419;4;0;;;;;;;;;;;;
53;1;420;479;4;1;;;;;;;;;;;;
54;1;480;539;4;0;;;;;;;;;;;;
55;1;540;599;4;0;;;;;;;;;;;;
56;1;600;659;4;0;;;;;;;;;;;;
57;1;660;719;4;1;;;;;;;;;;;;
58;1;720;779;4;1;;;;;;;;;;;;
59;1;780;839;4;0;;;;;;;;;;;;
60;1;840;899;4;0;;;;;;;;;;;;
61;1;0;59;5;0;;;;;;;;;;;;
62;1;60;119;5;1;;;;;;;;;;;;
63;1;120;179;5;0;;;;;;;;;;;;
64;1;180;239;5;0;;;;;;;;;;;;
65;1;240;299;5;1;;;;;;;;;;;;
66;1;300;359;5;0;;;;;;;;;;;;
67;1;360;419;5;0;;;;;;;;;;;;
68;1;420;479;5;0;;;;;;;;;;;;
69;1;480;539;5;1;;;;;;;;;;;;
70;1;540;599;5;0;;;;;;;;;;;;
71;1;600;659;5;0;;;;;;;;;;;;
72;1;660;719;5;1;;;;;;;;;;;;
73;1;720;779;5;1;;;;;;;;;;;;
74;1;780;839;5;0;;;;;;;;;;;;
75;1;840;899;5;0;;;;;;;;;;;;
