idvideo;inicio;fin;idfaseconducta;cantidad
8;0;59;1;23
8;60;119;1;21
8;120;179;1;15
8;180;239;1;8
8;240;299;1;10
8;300;359;1;11
8;360;419;1;1
8;420;479;1;5
8;480;539;1;3
8;540;599;1;1
8;600;659;1;3
8;660;719;1;2
8;720;779;1;9
8;780;839;1;0
8;840;899;1;1
8;0;59;2;4
8;60;119;2;1
8;120;179;2;4
8;180;239;2;5
8;240;299;2;4
8;300;359;2;0
8;360;419;2;0
8;420;479;2;2
8;480;539;2;3
8;540;599;2;3
8;600;659;2;0
8;660;719;2;2
8;720;779;2;1
8;780;839;2;5
8;840;899;2;0
8;0;59;3;0
8;60;119;3;1
8;120;179;3;2
8;180;239;3;1
8;240;299;3;2
8;300;359;3;0
8;360;419;3;1
8;420;479;3;2
8;480;539;3;0
8;540;599;3;0
8;600;659;3;0
8;660;719;3;0
8;720;779;3;2
8;780;839;3;1
8;840;899;3;0
9;0;59;1;10
9;60;119;1;7
9;120;179;1;2
9;180;239;1;1
9;240;299;1;3
9;300;359;1;3
9;360;419;1;0
9;420;479;1;5
9;480;539;1;0
9;540;599;1;4
9;600;659;1;0
9;660;719;1;0
9;720;779;1;0
9;780;839;1;0
9;840;899;1;0
9;0;59;2;3
9;60;119;2;2
9;120;179;2;6
9;180;239;2;5
9;240;299;2;3
9;300;359;2;1
9;360;419;2;8
9;420;479;2;4
9;480;539;2;0
9;540;599;2;3
9;600;659;2;0
9;660;719;2;0
9;720;779;2;0
9;780;839;2;0
9;840;899;2;0
9;0;59;3;0
9;60;119;3;1
9;120;179;3;3
9;180;239;3;4
9;240;299;3;1
9;300;359;3;3
9;360;419;3;1
9;420;479;3;1
9;480;539;3;0
9;540;599;3;2
9;600;659;3;0
9;660;719;3;0
9;720;779;3;0
9;780;839;3;0
9;840;899;3;0
10;0;59;1;27
10;60;119;1;8
10;120;179;1;7
10;180;239;1;0
10;240;299;1;3
10;300;359;1;2
10;360;419;1;3
10;420;479;1;10
10;480;539;1;2
10;540;599;1;4
10;600;659;1;0
10;660;719;1;0
10;720;779;1;0
10;780;839;1;0
10;840;899;1;0
10;0;59;2;1
10;60;119;2;3
10;120;179;2;3
10;180;239;2;5
10;240;299;2;4
10;300;359;2;2
10;360;419;2;1
10;420;479;2;0
10;480;539;2;1
10;540;599;2;1
10;600;659;2;0
10;660;719;2;1
10;720;779;2;2
10;780;839;2;2
10;840;899;2;2
10;0;59;3;0
10;60;119;3;0
10;120;179;3;0
10;180;239;3;2
10;240;299;3;1
10;300;359;3;1
10;360;419;3;1
10;420;479;3;0
10;480;539;3;0
10;540;599;3;0
10;600;659;3;0
10;660;719;3;1
10;720;779;3;1
10;780;839;3;1
10;840;899;3;0
11;0;59;1;16
11;60;119;1;6
11;120;179;1;2
11;180;239;1;5
11;240;299;1;2
11;300;359;1;3
11;360;419;1;5
11;420;479;1;11
11;480;539;1;0
11;540;599;1;0
11;600;659;1;1
11;660;719;1;3
11;720;779;1;4
11;780;839;1;1
11;840;899;1;1
11;0;59;2;5
11;60;119;2;4
11;120;179;2;6
11;180;239;2;3
11;240;299;2;2
11;300;359;2;0
11;360;419;2;0
11;420;479;2;2
11;480;539;2;0
11;540;599;2;3
11;600;659;2;0
11;660;719;2;4
11;720;779;2;2
11;780;839;2;1
11;840;899;2;1
11;0;59;3;3
11;60;119;3;3
11;120;179;3;3
11;180;239;3;0
11;240;299;3;2
11;300;359;3;0
11;360;419;3;0
11;420;479;3;0
11;480;539;3;0
11;540;599;3;1
11;600;659;3;1
11;660;719;3;1
11;720;779;3;1
11;780;839;3;1
11;840;899;3;1
12;0;59;1;27
12;60;119;1;27
12;120;179;1;10
12;180;239;1;8
12;240;299;1;4
12;300;359;1;0
12;360;419;1;5
12;420;479;1;4
12;480;539;1;10
12;540;599;1;2
12;600;659;1;5
12;660;719;1;4
12;720;779;1;5
12;780;839;1;2
12;840;899;1;2
12;0;59;2;1
12;60;119;2;3
12;120;179;2;4
12;180;239;2;2
12;240;299;2;6
12;300;359;2;0
12;360;419;2;3
12;420;479;2;0
12;480;539;2;0
12;540;599;2;2
12;600;659;2;0
12;660;719;2;2
12;720;779;2;1
12;780;839;2;0
12;840;899;2;0
12;0;59;3;0
12;60;119;3;0
12;120;179;3;0
12;180;239;3;0
12;240;299;3;0
12;300;359;3;0
12;360;419;3;0
12;420;479;3;0
12;480;539;3;0
12;540;599;3;0
12;600;659;3;3
12;660;719;3;0
12;720;779;3;0
12;780;839;3;2
12;840;899;3;0
